job,day,interval,assigned,min_req,pref_req,slack_min,slack_pref
cashier,1,14,1,1,2,0,1
cashier,1,15,1,1,1,0,0
cashier,1,16,1,1,1,0,0
cashier,1,17,1,1,1,0,0
cashier,1,18,1,1,2,0,1
cashier,1,19,1,1,1,0,0
cashier,1,20,1,1,1,0,0
cashier,1,21,1,1,1,0,0
cashier,1,22,0,0,0,0,0
cashier,1,23,0,0,0,0,0
cashier,1,24,0,0,0,0,0
cashier,1,25,0,0,0,0,0
cashier,1,26,0,0,0,0,0
cashier,1,27,0,0,0,0,0
cashier,1,28,0,0,0,0,0
cashier,1,29,0,0,0,0,0
cashier,1,30,1,1,1,0,0
cashier,1,31,1,1,1,0,0
cashier,1,32,1,1,1,0,0
cashier,1,33,1,1,1,0,0
cashier,1,34,1,1,1,0,0
cashier,1,35,1,1,1,0,0
cashier,1,36,1,1,2,0,1
cashier,1,37,1,1,2,0,1
cashier,1,38,0,0,0,0,0
cashier,1,39,0,0,0,0,0
cashier,1,40,0,0,0,0,0
cashier,1,41,0,0,0,0,0
cashier,2,14,1,1,1,0,0
cashier,2,15,1,1,2,0,1
cashier,2,16,1,1,1,0,0
cashier,2,17,1,1,2,0,1
cashier,2,18,1,1,1,0,0
cashier,2,19,1,1,1,0,0
cashier,2,20,1,1,1,0,0
cashier,2,21,1,1,1,0,0
cashier,2,22,0,0,0,0,0
cashier,2,23,0,0,0,0,0
cashier,2,24,0,0,0,0,0
cashier,2,25,0,0,0,0,0
cashier,2,26,0,0,0,0,0
cashier,2,27,0,0,0,0,0
cashier,2,28,0,0,0,0,0
cashier,2,29,0,0,0,0,0
cashier,2,30,1,1,1,0,0
cashier,2,31,2,1,2,0,0
cashier,2,32,2,1,2,0,0
cashier,2,33,2,1,1,0,0
cashier,2,34,2,1,1,0,0
cashier,2,35,2,1,2,0,0
cashier,2,36,2,1,1,0,0
cashier,2,37,2,1,2,0,0
cashier,2,38,1,0,0,0,0
cashier,2,39,0,0,0,0,0
cashier,2,40,0,0,0,0,0
cashier,2,41,0,0,0,0,0
cashier,3,14,1,1,1,0,0
cashier,3,15,1,1,1,0,0
cashier,3,16,1,1,1,0,0
cashier,3,17,1,1,1,0,0
cashier,3,18,1,1,2,0,1
cashier,3,19,1,1,1,0,0
cashier,3,20,1,1,1,0,0
cashier,3,21,1,1,2,0,1
cashier,3,22,0,0,0,0,0
cashier,3,23,0,0,0,0,0
cashier,3,24,0,0,0,0,0
cashier,3,25,0,0,0,0,0
cashier,3,26,0,0,0,0,0
cashier,3,27,0,0,0,0,0
cashier,3,28,0,0,0,0,0
cashier,3,29,0,0,0,0,0
cashier,3,30,1,1,2,0,1
cashier,3,31,1,1,1,0,0
cashier,3,32,1,1,1,0,0
cashier,3,33,1,1,1,0,0
cashier,3,34,1,1,1,0,0
cashier,3,35,1,1,1,0,0
cashier,3,36,1,1,1,0,0
cashier,3,37,1,1,2,0,1
cashier,3,38,0,0,0,0,0
cashier,3,39,0,0,0,0,0
cashier,3,40,0,0,0,0,0
cashier,3,41,0,0,0,0,0
cashier,4,14,1,1,1,0,0
cashier,4,15,1,1,2,0,1
cashier,4,16,1,1,1,0,0
cashier,4,17,1,1,1,0,0
cashier,4,18,1,1,2,0,1
cashier,4,19,1,1,1,0,0
cashier,4,20,1,1,1,0,0
cashier,4,21,1,1,1,0,0
cashier,4,22,0,0,0,0,0
cashier,4,23,0,0,0,0,0
cashier,4,24,0,0,0,0,0
cashier,4,25,0,0,0,0,0
cashier,4,26,0,0,0,0,0
cashier,4,27,0,0,0,0,0
cashier,4,28,0,0,0,0,0
cashier,4,29,0,0,0,0,0
cashier,4,30,1,1,1,0,0
cashier,4,31,1,1,1,0,0
cashier,4,32,2,1,2,0,0
cashier,4,33,2,1,1,0,0
cashier,4,34,2,1,2,0,0
cashier,4,35,2,1,2,0,0
cashier,4,36,1,1,1,0,0
cashier,4,37,1,1,1,0,0
cashier,4,38,0,0,0,0,0
cashier,4,39,0,0,0,0,0
cashier,4,40,0,0,0,0,0
cashier,4,41,0,0,0,0,0
cashier,5,14,1,1,1,0,0
cashier,5,15,1,1,1,0,0
cashier,5,16,1,1,1,0,0
cashier,5,17,1,1,1,0,0
cashier,5,18,1,1,2,0,1
cashier,5,19,1,1,1,0,0
cashier,5,20,1,1,1,0,0
cashier,5,21,1,1,1,0,0
cashier,5,22,0,0,0,0,0
